"Player","I","B","R","W","Econ","Avg","SR","4W","5W","BBI","4s","6s","Dots"
"T Vijay","1","6","11","0","11","","","0","0","0/11","0","1","0"
"TA Boult","3","24","38","0","9.5","","","0","0","0/4","3","1","4"
"TH David","1","6","18","0","18","","","0","0","0/18","1","2","1"
"TU Deshpande","6","42","95","2","13.57","47.5","21","0","0","1/12","12","4","8"
"V Nigam","5","48","106","2","13.25","53","24","0","0","1/17","8","8","11"
"V Vyshak","9","108","170","4","9.44","42.5","27","0","0","2/31","13","6","24"
"VG Arora","3","24","45","1","11.25","45","24","0","0","1/17","5","1","4"
"Washington Sundar","5","48","63","1","7.88","63","48","0","0","1/23","2","4","14"
"WG Jacks","3","24","36","1","9","36","24","0","0","1/14","4","1","8"
"XC Bartlett","4","42","81","0","11.57","","","0","0","0/9","9","4","9"
"Yash Raj Punja","8","156","248","8","9.54","31","19.5","0","0","2/31","13","16","43"
"Yash Thakur","1","6","11","0","11","","","0","0","0/11","0","0","1"
"YS Chahal","12","216","326","11","9.06","29.64","19.64","0","0","3/36","15","17","53"
